id,matricula,marca,modelo,nSerie,ano,tipo,kmsAtuais,horasAtuais,empresaId,estaleiroId,notas,proximaRevisaoKms,proximaRevisaoHoras
2f61de0e-5184-43a0-a9ea-08321e75a055,BM-49-GG,"HAKO","650",WHW14701541380300,,Equipamento,0,0,E161,,"",,
31b14482-b6c9-4884-ab0b-efd425dec145,BE-89-NT,"Goupil","G4",Vrwgwmzzzp0k00114,,Equipamento,0,0,E128,,"",,
31cf3db8-4de5-4345-88a7-7b525887da29,03-ZT-39,"Goupil","G2",VRWG2MZZZM0L00049,,Equipamento,0,0,E048,,"",,
327262a6-b3d8-449f-9608-fed80cf2546d,BP-94-LI,"Goupil","G4",VRWGWLZZZP0K00302,,G4 21 KW,0,0,E170,,"",,
33529f33-7b0b-4d7f-9afd-e903f0795fb9,AL-58-TU - VE743,"Goupil","G2",VRWG2MZZZM0L00072,,Equipamento,0,0,E009,,"",,
33bb1f6a-b017-4554-b17f-2950eb09bbdf,BF-19-BI,"Goupil","G4",VRWGWMZZZN0K01595,,G4 9KW,0,0,E143,,"",,
352bf003-6ae7-4055-ac5c-d02e8396d310,CI-62-LB,"GOUPIL","G6",VRWG6MZZ9T0K00046,,G6 28.8 kw  - Cx Basc,0,0,E173,,"",,
352d9ff2-247d-42cc-97e0-32b70b623ec1,CH-44-TJ,"GOUPIL","G6",VRWG6MZZ1S0K00072,,G6 28.8 kw - RSU Tecam,0,0,E078,,"",,
362996a2-cae0-4bea-a4fc-b1fbe2daaf4f,BF-71-SR,"Goupil","G4",TAPPWMZZZP0K00713,,Equipamento,0,0,E180,,"",,
366a2c6b-7718-47e0-a746-93f8ddc676f7,40-TN-35 - 730,"Goupil","G4",VRWGWMZZZH0L00220,,Equipamento,0,0,E009,,"",,
366f61cd-ffb7-4286-bc1b-51b71840332b,CE-35-XG,"Goupil","G4",VRWGWLZZZS0K00236,,G4 14kw - RSU Tecam,0,0,E002,,"",,
36e13a7d-134f-4a16-a176-763f33b0f457,CI-87-IR,"GOUPIL","G4",VRWGWLZZ0T0K00253,,G4 14kw - RSU,0,0,E005,,"",,
375d41f6-596f-4dad-9272-3f71d681d0a4,BQ-27-IC,"Goupil","G2",VRWG2MZZZR0L00023,,G2 5,8 kWh,0,0,E097,,"",,
375ddc67-b74a-45d3-b04f-53beba75fffc,CA-34-HD,"OHM","S35",LA9CBC2B9SBALZ034,,Caixa Fixa,0,0,E001,,"",,
382831e5-cf42-47d8-b2d2-c114d7159ff3,80-TX-80,"Goupil","G4",VRWGWMZZZH0L00521,,Equipamento,0,0,E053,,"",,
385ffd34-6aeb-46d0-8990-4f21b90b0401,BV-94-TC,"Goupil","G6",VRWG6MZZ3S0K00025,,G6 28.8 kw - RSU Tecam,0,0,E004,,"",,
3986c4c3-a6f7-49fc-a371-0ce2208009c1,BU-13-HN,"HAKO","650",WHW14701551631100,,Equipamento,0,0,E187,,"",,
39ecda48-69a4-413d-a6dd-17c3862d4f69,BS-43-XI,"Goupil","G6",VRWG6MZZZR0K00012,,G6 28.8 kw - Cx Basc,0,0,E006,,"",,
3b670873-42dd-474b-bfd8-54ef6fd97c66,97-ZB-35,"Goupil","G4",VRWGWMZZZK0L00193,,Equipamento,0,0,E004,,"",,
3b977f7b-ec5f-4faf-9085-622f362ed52e,BF-06-DN,"HAKO","1650",WHW14911531178200,,Equipamento,0,0,E007,,"",,
3cb7abd8-c56e-40c1-8d76-4ecaa79ec186,BG-56-GH,"Goupil","G4",TAPPWMZZZP0K00803,,Equipamento,0,0,E148,,"",,
3cca7b21-dbed-4b6b-b952-299455bac54c,CJ-72-JQ,"GOUPIL","G6",VRWG6MZZ2T0K00048,,G6 28.8 kw - Cx RSU TECAM,0,0,E209,,"",,
3d2e0262-988c-48a6-b4d9-cc0d7960b1e3,AX-22-XU,"Goupil","G4",VRWGWMZZZN0K00766,,Equipamento,0,0,E117,,"",,
3dc9557f-a340-4d4f-8c13-2e6a8dd4fb73,BF-91-DR,"Goupil","G4",VRWGWMZZZN0K01286,,AP 500,0,0,E145,,"",,
3ef0a017-fdee-4ea5-8c9d-09dddcf41e21,AT-38-ZT,"Goupil","G4",TAPPWMZZZM0K00819,,Equipamento,0,0,E109,,"",,
40945c00-4899-4f9f-b86c-7e8ecb17d745,BB-60-XU,"Goupil","G2",VRWG2MZZZP0L00023,,G2 5.2 - Cx Fixa,0,0,E096,,"",,
4097c826-b783-4b8a-b943-e8b7c14a350e,AU-00-VR,"AIXAM","D-TRUCK",VLGTV580FM2024639,,Equipamento,0,0,E111,,"",,
40a3357c-c6a5-4d4f-8142-7168f8225bb0,AQ-71-DP,"Goupil","G2",VRWG2MZZZM0L00241,,Equipamento,0,0,E097,,"",,
413c3fc1-0c45-4243-bbba-eee79f0215a0,07-SE-56,"Goupil","G3",VRWG3LBACG0000117,,Equipamento,0,0,E079,,"",,
415061eb-af6c-4990-bb7d-dccfb2c331da,BM-25-UU,"Goupil","G4",VRWGWMZZZR0K00361,,G4 RSU,0,0,E164,,"",,
415cbdad-0adf-487e-9d4d-f22688e767b0,VS9UCK1ERSV094423,"SANE","REBOQUE 10 BICICLETAS",VS9UCK1ERSV094423,,REBOQUE 10 BICICLETAS,0,0,E021,,"",,
4246ccc0-0e6f-48af-b002-839b165f6f7d,AZ-86-RS,"Goupil","G4",VRWGWMZZZN0K000758,,Equipamento,0,0,E098,,"",,
435d0e00-097c-4220-bc3b-5fcb157bdae7,AN-67-UZ,"Goupil","G2",VRWG2MZZZM0L00071,,Equipamento,0,0,E048,,"",,
45d7b4d0-bb03-4572-843b-2b461d4de9cd,BE-41-AQ,"GOUPIL","G4",VRWGWLZZZP0K00051,,Equipamento,0,0,E136,,"",,
4763a6ce-d899-42fb-afb8-79e0a25ea66f,BV-79-QI,"RASCO","LYNK 2000",V39LBA0ABP0WB4108,,Equipamento,0,0,E205,,"",,
4883aef4-dbd1-492f-b948-917e9ff0cb39,67-TN-78 - 731,"Goupil","G4",VRWGWMZZZH0L00203,,Equipamento,0,0,E009,,"",,
48a21925-c2cb-4206-bd67-cd1a4c14f4bc,57-UA-83,"Goupil","G4",VRWGWMZZZH0L00519,,Equipamento,0,0,E054,,"",,
490c3316-c7d8-4382-897a-e12fc7eed07f,AA-51-CN,"Goupil","G4",VRWGWMZZZJ0K00701,,Equipamento,0,0,E061,,"",,
49ad56af-dd16-408b-b30a-fd5cd100b82c,BZ-07-LJ,"Goupil","G6 28.8 kw - GANCHO",VRWG6MZZ8S0K00070,,Gancho,0,0,E159,,"",,
4b156fbc-3850-4353-b9bc-faf6bbebd71c,BF-20-CG,"Goupil","G2",VRWG2MZZZP0L00161,,G2 5.2KW,0,0,E046,,"",,
4b9bb5e9-b93c-4ee3-b9b0-1af910ecc63e,BE-12-RS,"Goupil","G4",VRWGWMZZZN0K01227,,Equipamento,0,0,E141,,"",,
4bb8f7e3-b758-4773-95c1-a56841d81a07,AJ-69-FB,"Goupil","G4",VRWGWMZZZM0L00037,,Equipamento,0,0,E079,,"",,
4c030b31-4067-4051-b783-bb1ddb428ca9,BB-88-IH,"Goupil","G4",VRWGWMZZZN0K01205,,Equipamento,0,0,E088,,"",,
4e4a6a81-9867-407f-bd6f-22eef343796c,GX000049,"SANE","Ecoponto",GX000049,,Equipamento,0,0,E051,,"",,
4fb94351-a955-4dfa-a506-ba08c12769af,BV-61-MA,"Goupil","G4",TAPPWMZZZS0K00186,,G4 21kw - Cx  Basc,0,0,E189,,"",,
51503a07-179b-43c4-9a88-b4ba049f2ada,AR-09-JA,"Goupil","G2",VRWG2MZZZM0L00159,,Equipamento,0,0,E129,,"",,
51b1957a-ceda-41e3-80e5-583924462550,67-TN-84,"Goupil","G4",VRWGWMZZZH0L00219,,Equipamento,0,0,E009,,"",,
51f000ec-631f-4480-b253-7bc7319e5f2d,BF-69-SR,"Goupil","G4",TAPPWMZZZP0K00714,,Equipamento,0,0,E186,,"",,
5226decf-5332-4f63-829b-2ef34f8b2b1e,AU-22-LS,"Goupil","G6",VRWG6MZZZL0K00045,,G6 28.8 kw - RSU Tecno,0,0,E004,,"",,
5282be0d-3220-4fa8-a6c2-345763f3b83d,CF-27-GD,"Goupil","G6",VRWG6MZZ9S0K00076,,G6 28.8 kw - Cx RSU,0,0,E193,,"",,
53287c0e-64d0-42ed-9f4c-ce6889efb59f,BM-43-EV,"Goupil","G4",VRWGWMZZZR0K00356,,G4 15.4 RSU,0,0,E160,,"",,
53ff9875-29d9-4a0f-8517-ee738f8f2498,BM-43-PP,"Goupil","G4",VRWGWMZZZN0K01579,,G4 21KW HP200,0,0,E163,,"",,
55a793c2-dde8-4835-a4e7-e3f8ee3a45cf,CA-40-FG,"OHM","S35",LA9CBC2B3SBALZ031,,Cx Fixa + Plataforma Elevatória,0,0,E001,,"",,
55abe952-84a8-48de-b476-0a4249685286,95-LC-84,"Goupil","G3",VRWG3SB4CA0000008,,Equipamento,0,0,E102,,"",,
586fdbac-f3a0-4ab1-a330-3dab488c8258,BZ-80-JC,"Goupil","G4",VRWGWLZZZS0K00265,,G4L 14kw - Cx  Basc + Aspirador,0,0,E195,,"",,
58a9c4a7-edd4-4086-a6cb-4ac1579ddbdd,75-TN-35 - 739,"Goupil","G4",VRWGWMZZZH0L00216,,Equipamento,0,0,E009,,"",,
58f16242-1e44-45bc-bc93-bdf5806e98ce,23080601,"TSM","ARIA 240",23080601,,Equipamento,0,0,E001,,"",,
59688124-cbea-4034-a2e2-e70de76de20b,BV-30-JL,"Goupil","G4",TAPPWMZZZR0K01122,,G4 14kw - Hidrolimpiador eletrico,0,0,E185,,"",,
59bf1c91-396b-4227-90e0-d5b9e8bfc3a4,94-TX-05,"Goupil","G4",VRWGWMZZZH0L00525,,Equipamento,0,0,E005,,"",,
5a708236-b849-4604-91d3-ab24cc5ef2cd,BX-84-CU,"Goupil","G4",VRWGWLZZZS0K00297,,G4L 21kw - RSU,0,0,E190,,"",,
5aaedbde-185d-4f17-8198-48e5b0199185,AN-11-PJ,"HAKO","1650",WHW14911510297200,,Equipamento,0,0,E094,,"",,
5ac7dccf-f9ff-48be-a64f-7f956f69a4c6,53-TS-57,"Goupil","G4",VRWGWMZZZH0L00243,,Equipamento,0,0,E146,,"",,
5bd35a75-99cf-45e4-a83e-c219300cdfb7,09-TX-55,"Goupil","G4",VRWGWMZZZH0L00432,,Equipamento,0,0,E070,,"",,
5c36f685-719e-4cde-b734-c0d4186bcda0,61-TE-51,"Goupil","G4",VRWGWMZZZH0L00139,,Equipamento,0,0,E013,,"",,
5d6e4441-b575-4819-9423-86194403ab5f,09-TX-57,"Goupil","G4",VRWGWMZZZH0L00438,,Equipamento,0,0,E088,,"",,
