id,codigo,designacao
2d973bf0-5646-4ebd-966e-214e4125c788,HA-149-413,BORRACHA INTERIOR DA CUBA
2d9eb076-2a7f-4d60-bfe7-0170ff0e8c8b,OF-CS-AN-RE-M06,ANILHA RECARTILHADA INOX M6
2dbdc5ec-80a8-4c21-9717-bb88db0e5352,OF-CS-EL-FU-DIV,MINI FUS�VEL
2def9784-59f2-44df-a0eb-2838696a348c,HA-VAL-BP,VALVULA BY PASS - HAKO
2dfcedfd-db7b-45df-a54a-dfd2491566c1,GO-5000045,PARAFUSO
2e739e2d-0cff-4688-b483-0a46741965f2,HA-149-381,CAVILHA
2eb75e03-48c9-42ab-82d3-f957f85f790c,HA-150-144,FAROLIM LED ESQ
2ef1d825-754a-49b1-8baf-d74e98b87193,OF-CS-HD-UN-3/4,UNI�O LAT�O MF 3/4
2fe1890d-43a4-4ae9-8039-c7c807586cd1,HA-301-903,CABINE COM VIDROS
300ed91f-313d-4eca-be0e-1f2f9194a02a,RA-001,ESCOVA RASCO 2000 VERDE
3083fc36-469e-4323-88a2-76f4d235214b,GO-6201438,SONDA NIVEL AGUA BATERIA
3084421f-51c7-475f-93b8-7d2d5541892c,GO-3500238,CONTROLADOR G4
30b21429-95e1-4ecf-9e17-c0c2b4df8b1f,GO-6207321,TUBO DE TRAV�O G4
30d90cf3-5d33-4244-bfb6-ab4ab4854834,OF-CS-EL-PO-004,PONTEIRA ISOLADA SIMPLES TE 2.5
31115a4b-ce5b-46ec-a165-3378b4cf31fa,GO-7140595,SINAL ROTATIVO
31667b51-5f71-4403-8eaa-9367ae8260b8,GO-3200048,SUPORTE DE TUBO G4
31a6bff4-fe44-4907-a1ce-5a6c6805d1b3,TEC-850401,FIVELA
31cf22c1-b756-4ee2-ac20-83193b532a3e,HA-147-149,BOCAL DE ASPIRAÇÃO
31de4c3f-dedf-4ecc-9caa-8ecea1d1920d,GO-3450256,INTERRUPTOR  AVISO INTERMITENTE
3200a9c0-8a32-4897-aa75-708dc7668287,GO-3450525,FECHO CENTRAL G4
327beb97-b8b2-4dbe-8ede-cde6f798777c,OF-CS-PF-IN-M5X16,PARAFUSO CE INOX M5X16
3283f435-351a-4db2-bf76-11d776f38597,GO-3450314,FUS�VEL 400A
32e56ed1-45af-47df-802c-e94a4fbaab55,GO-7140257,VIDRO PEQUENO DRT. G3
334cfcac-a4be-4a57-be3f-9ac6c1d87adb,GO-7140624,KIT TRIANGULO
33c59ba6-8eb8-41cf-b526-5a18cf78b2ac,GO-6207751,AMORTECEDOR FRENTE G4
33ce6d11-450b-4365-a7c4-2c0f374e6a37,GO-031C,PACK DE BATERIAS TAB 240H 48V  G3  (GR)
33e2745b-4fda-4db7-baf0-74eda63c3cb0,GO-6200758,CABO CARREGAMENTO 5M - G4
34191256-bac3-46d1-997c-8d0520ec3200,GO-FU150A,FUS�VEL BORNE BATERIA AUXILIAR 150A
34769cc9-4873-4990-b6f8-54dbf524fcd2,GO-6111569,DOBRADI�A SUPERIOR
34f24e5d-d257-4288-b7f6-a1b31429527b,GO-6200525,PACK BATERIAS 320AH
35400ae7-170e-4a86-a73d-6f033149725b,GO-4151052,ROLAMENTO (SUB 4150960)
354173d5-cdd3-42bd-8d18-a74cbeee5fc1,OF-CS-LB-OLHID2,�LEO HIDR�ULICO 46 HVLP
36194d84-e3f7-4eb7-8fc0-facb649fa617,OF-CS-PO-FR-M4,PORCA FREIADA M4
366d417f-f1dc-47fc-a527-3c7f9ae77109,GO-3500246,CONVERSOR G4
36905c25-7331-4925-b2ef-a912f569c74c,GO-7140853,CONTROLADOR
374381b3-f6f5-4172-91d6-2ffe8788b79d,GO-6110147,SUPORTE PARACHOQUES ESQ G4
37dda317-e37a-48f4-9275-20499b1b75d1,HA-116-059,COUPLING SLEEVE
380b8dc3-f225-4fcd-9957-6e801adb7364,GO-4150960,ROLAMENTO CUBO FRT
38301b20-7fa3-41bc-a958-a053bcdf35f6,HA-149-157,FILTRO DE OLEO
3858ed34-9538-4cb0-9401-0629d26da3d6,TSM-14-0500-082,CENTRALINA ASPIRAÇÃO 24V METALICA
385f4cc8-4fd7-4cab-a8f6-097a52c69bb7,OF-CS-HD-CQ-MM1438,CASQUILHO M-M 1/4X3/8
3908f4d2-d33a-447c-97bf-d0f938905be0,GO-ROL-001,ROLAMENTO CAIXA SAT�LITE
39745bab-fd79-483b-9a6c-c18009a0cccc,HA-149-598,AMORTECEDOR
398bd639-396b-44a7-b22c-8c251733ea31,GO-7140427,DEP�SITO TRAV�ES
39a2348b-41ea-453e-a60d-700511ebe49a,GO-4151061,FECHADURA PORTA DIR | G6
39d43e7e-26c1-40d5-a40f-218d5a975ea5,RA-57111185,FILTRO HIDRAULICO RETORNO
3a59d598-af31-4b26-9b10-f28f9a2e00c3,HA-114-029,CONECTOR H. HEMBRA
3a7db71d-15ff-4540-9cf0-b434321a7001,P-11162,BORRACHA DIANTEIRA
3ac67cea-1f94-4b33-8bf0-377e40ab459a,HA-116-357,BORRACHA BOCAL 1250
3aeb3be4-e3c2-4948-914d-94235f6093df,HA-301-579,Tampa dir. - Branca
3aee0601-2413-47d9-b5be-28ca86a760f1,HA-116-007,ENGATE R�PIDO F
3b145ef8-3f5f-444e-81f0-6e8ab5e86b5c,TSM-3130-0155-1E,SUPORTE MANGUEIRA
3b193c2d-7b43-4deb-ada8-3112e043d128,OHM-610190191,"FAROLIM TRASEIRO ESQ "
3b8ff41f-ca96-49d0-9f10-322442be6987,HA-150-509,TAMPA
3c0ad2a7-0454-444e-bab7-59b83791ab27,P-11367,FILTRO RETORNO 209MM
3c76c3a2-09d7-4a1b-8d13-4f952423fa4b,HA-114-240,MOUNTING LINK
3d117c45-cba1-41b8-9b42-7aa8966bcbd5,GO-7140321,KIT RESERVATORIO OLEO TRAVOES - G3
3d6a2cc7-adce-4d9a-80eb-f5ed83ac057a,TEC-AL032,PIVOT
3d8f8f38-3e19-4387-a4c4-fb1a8181f5e7,GO-7140761,KIT 2 DISCOS TRAV�O FRENTE | G6
3e052a20-a914-4733-bebc-004baaab0ed6,OF-CS-EL-TE-018,TERMINAL CRAVAR COBRE TC 35-6
3e0fd5c8-7789-4d63-98b8-cb55a40b60a5,GO-8410316,CABO INTERFACE ABS/ESP/AIRBAG
3e44d091-3964-405a-9038-a1bf077bfcd0,OF-CS-EL-FP-001,FIXA PARAFUSOS DL 2.22 DOMAX
3e85028f-57a9-43b3-8da3-9c7d5e2a01b4,OHM-CW4LD,FILTRO ALIMENTAÇÃO
3e9702c6-14bb-4723-9301-6ad899285387,GO-2100726,TAMPA DE ALUM�NIO ADESIVA G4
3ea41cd0-acd2-4bd2-ab42-060a718fc607,TSM-18-0019-003,CARREGADOR BATERIAS 24V 40A (HF)
3ecca9ed-2916-4952-b376-ae20bcc639b9,GO-3500255,VARIADOR
3f0085b6-2f33-445d-b1cf-3c2228578976,OF-CS-AB-48X290,ABRA�ADEIRA 4.8X290
3f0bb5b5-75f1-4153-a103-34604bb967a3,GO-7140843,GRELHA FRONTAL AZUL + LOGO - G4
3f170fb7-2e3d-47cf-a6be-153ac6b8da34,HA-150-764,JUNTA DA CABE�A 0.6
3f6d510e-bbc3-474b-8429-7da94338c52e,GO-4151025,MOLA GRELHA FRONTAL
3f880c85-9b21-4bb5-a693-1c56461d3932,P-5836,FILTRO DE �LEO
3fb11586-5387-4c21-951c-28bcaccf6a43,GO-2100715,PLACA BMS G4- 12KWH
4048b01b-a9f9-404d-830b-e6f0c5e01463,GO-127MP105,FECHO DA PORTA  G4
