id,nome,moradaSede,estaleiros,coordsSede
E149,"MUNICIPIO DE MARCO DE CANAVESES","LG SACADURA CABRAL, 4630-219 MARCO DE CANAVESES","[]",""
E150,"Remolcs i Planxisteria Sané SL","Pol.Ind les Goules . C/ Fusteria n 9-11  , 08551-Tona","[]",""
E151,"PRAIA AMBIENTE, E.M.","RUA DO EVANGELHO, N 1 , 9760-456 PRAIA DA VITORIA","[]",""
E152,"UF de Poceirão e Marateca","Rua Luís de Camões, 12, 2965-314 Poceirão","[]",""
E153,"MUNICIPIO DE VALPACOS","PRAÇA DO MUNICIPIO, 5430-482 VALPAÇOS","[]",""
E154,"O FELIZ - METALOMECANICA S A","AV DE S LOURENÇO N 41, 4705-444 CELEIRÓS BRG","[]",""
E155,"FREGUESIA DE ALFRAGIDE","Rua Miguel Torga, n 2, 2610-086 AMADORA","[]",""
E156,"MUNICIPIO DE SAO JOAO DA MADEIRA","AV AVENIDA DA LIBERDADE - EDIFICIO DA CAMARA MUNICIPAL, 3700-163 SAO JOAO DA MADEIRA","[]",""
E157,"MUNICIPIO DE CALDAS DA RAINHA","PRAÇA 25 DE ABRIL , 2500-110 CALDAS DA RAINHA","[]",""
E158,"TRAJECTOBVIO SUBSTITUIÇÃO E REPARAÇÃO DE VIDRO AUTO LDA","RUA DOS SEAREIROS N 44 FOROS DE DOMINGÃO, 7400-123 PONTE DE SOR","[]",""
E159,"MUNICIPIO DE SERPA","PC DA REPUBLICA , 7830-389 SERPA","[]",""
E160,"MUNICIPIO DE PORTO DE MOS","PC REPUBLICA, 2480-851 PORTO DE MOS","[]",""
E161,"JF VILA DE FRADES","Rua Poeta João Xavier De Matos N. 6, 7960-456 VILA DE FRADES","[]",""
E163,"MUNICIPIO DE BARCELOS","LARGO DO MUNICIPIO, 4750-323 BARCELOS","[]",""
E164,"MUNICIPIO DO CORVO","R JOGO DA BOLA SN , 9980-024 CORVO","[]",""
E165,"AUTO JUSTINO CARNEIRO LDA","Rua de Lordelo n 30 , 4510-591 Fânzeres","[]",""
E166,"SAINT-GOBAIN SEKURIT SERVICE PORTUGAL, S.A.","R 25 DE ABRIL 460 , 4410-014 SERZEDO VNG","[]",""
E167,"TURBO PECAS COMERCIO ACESSORIOS AUTO LDA","TV DA VITORIA N 97, 4475-174 MAIA","[]",""
E168,"JF de Fânzeres e São Pedro da Cova","Rua São Tiago , 4510-670 FÂNZERES","[]",""
E169,"ITURRI SA","Avda. Roberto Osborne, 9, 41007 Sevilla","[]",""
E170,"MUNICIPIO DE ALMADA","LG LUIS DE CAMOES , 2800-158 ALMADA","[]",""
